상품명,색깔,카테고리,RGB,패턴재질,모양,계절,평균평점,스타일,종합점수
프렘 트윌리 토트백,핑크,토트백,"0,0,0",무지,토트백,봄 여름 가을 겨울,4.833333333,로맨틱,0.01
프리지아 레이스스커트,핑크,미니스커트,"231, 191, 192",플라워,H라인,여름   ,4.5,로맨틱,0
프리츠 데이지 퍼프원피스,블랙,미니원피스,"0, 0, 0",플라워,브이넥,   ,4.555555556,로맨틱,0
플레인 펀칭 롱원피스,화이트,롱원피스,"255, 255, 255",펀칭,리본,봄 가을  ,4.5,로맨틱,0
피노 레이스블라우스,크림,블라우스,"244, 243, 237",시스루,카라,봄   ,4.923076923,로맨틱,0
필소 오프숄더 프릴블라우스,아이보리,블라우스,"254, 255, 239",무지,프릴,여름   ,5,로맨틱,0
하렌 러플블라우스,아이보리,블라우스,"254, 255, 239",무지,카라,봄 가을  ,4.68,로맨틱,0
하렌 러플블라우스,크림,블라우스,"244, 243, 237",무지,카라,봄 가을  ,4.68,로맨틱,0
[울30%]로나 트위드자켓,블랙,자켓,"0, 0, 0",트위드,단추,겨울   ,0,모던시크,0
[울30%]로나 트위드자켓,아이보리,자켓,"236, 236, 236",트위드,단추,겨울   ,0,모던시크,0
[울50%]헤리 더블롱코트(벨트set),베이지,코트,168159146,무지,카라,겨울   ,0,모던시크,0
기획특가♥모겐 무스탕(벨트set),베이지,자켓,"193, 177, 144",퍼,스트랩,겨울   ,4.573333333,모던시크,0
기획특가♥모겐 무스탕(벨트set),블랙,자켓,"0, 0, 0",퍼,스트랩,겨울   ,4.573333333,모던시크,0
기획특가♥모겐 무스탕(벨트set),스카이블루,자켓,"146, 183, 207",퍼,스트랩,겨울   ,4.573333333,모던시크,0
노우 스웨이드 앵클부츠,베이지,부츠,"213, 202, 179",스웨이드,부츠,겨울   ,4.846153846,모던시크,0
노우 스웨이드 앵클부츠,블랙,부츠,84110188,스웨이드,부츠,겨울   ,4.846153846,모던시크,0
디올르 브이 롱 니트원피스,블랙,롱원피스,"0, 0, 0",무지,슬릿,겨울   ,4.647058824,모던시크,0
디올르 브이 롱 니트원피스,핑크,미디원피스,"255, 186, 187",무지,슬릿,겨울   ,4.647058824,모던시크,0
마일드 그레이쉬 데님스커트,애쉬그레이,미니스커트,"189, 189, 189",데님,A라인,여름   ,4.793103448,모던시크,-0.06
마일드 그레이쉬 데님스커트,애쉬그레이 ,미니스커트,"189, 189, 189",데님,A라인,여름   ,4.793103448,모던시크,-0.06
브론디 트위드자켓,블랙,자켓,"0, 0, 0",트위드,크롭,가을 겨울  ,4.714285714,모던시크,0
비스 기모 스판부츠,베이지,부츠,"213, 202, 179",무지,부츠,겨울   ,5,모던시크,0
비스 기모 스판부츠,블랙,부츠,"0, 0, 0",무지,부츠,겨울   ,5,모던시크,0
샬리마 스퀘어 싱글자켓,네이비,자켓,"0, 0, 129",무지,스퀘어넥,가을 겨울  ,4.818181818,모던시크,0
샬리마 스퀘어 싱글자켓,베이지,자켓,"193, 177, 144",무지,스퀘어넥,가을 겨울  ,4.818181818,모던시크,0
슈앤 스판 롱부츠,블랙,부츠,208185187,무지,부츠,가을 겨울  ,4.428571429,모던시크,0
슈앤 스판 롱부츠,블랙 ,부츠,84110188,무지,부츠,가을 겨울  ,4.428571429,모던시크,0
아멜 트위드 롱원피스,아이보리,롱원피스,"254, 255, 239",무지,스퀘어넥,봄 여름   ,4.730769231,모던시크,-0.06
오리진 하운드체크 더블자켓,블랙,자켓,"0, 0, 0",체크,단추,봄 가을 겨울 ,4.75,모던시크,0
오리진 하운드체크 더블자켓,와인,자켓,"119, 0, 22",체크,단추,봄 가을 겨울 ,4.75,모던시크,0
차크 스판부츠,베이지,부츠,"213, 202, 179",무지,부츠,봄 여름 가을 ,4.6875,모던시크,0
차크 스판부츠,블랙,부츠,244191172,무지,부츠,봄 여름 가을 ,4.6875,모던시크,0
차크 스판부츠,블랙 ,부츠,84110188,무지,부츠,봄 여름 가을 ,4.6875,모던시크,0
차크 스판부츠,화이트,부츠,"255, 255, 255",무지,부츠,봄 여름 가을 ,4.6875,모던시크,0
코덴 스웨이드롱부츠,블랙,부츠,255255255,스웨이드,부츠,봄 가을 겨울 ,5,모던시크,0
헌트 헤링본자켓,브라운,자켓,"158, 120, 71",헤링본,단추,봄 가을  ,5,모던시크,0
에르링 로브자켓(벨트set),아이보리,자켓,"236, 236, 236",무지,로브,가을   ,4.571428571,미니멀,0
레이나 진주귀걸이,블랙,귀걸이,"0,0,0",무지,진주,봄 여름 가을 겨울,5,볼드,0
로얄 귀걸이,골드,귀걸이,84110188,금속,큐빅,봄 여름 가을 겨울,4,볼드,0
마농 헤어핀,골드,헤어 악세서리,192192192,금속,헤어핀,봄 여름 가을 겨울,4.407407407,볼드,0
마농 헤어핀,실버,헤어 악세서리,84110188,금속,헤어핀, 여름 가을 겨울,4.407407407,볼드,0
모흐 귀걸이,실버,귀걸이,192192192,금속,메달형,봄 여름 가을 겨울,5,볼드,0
세란 진주귀걸이,골드,귀걸이,84110188,금속 ,진주,봄 여름  가을  겨울,5,볼드,0
세이나 진주귀걸이,골드,귀걸이,84110188,금속 ,진주,봄 여름  가을  겨울,4.866666667,볼드,0
오수 진주목걸이,실버,목걸이,192192192,금속,진주,봄 여름 가을 겨울,4.75862069,볼드,0
오안느 귀걸이,실버,귀걸이,192192192,금속,진주,봄 여름 가을 겨울,5,볼드,0
오엘 진주귀걸이,골드,귀걸이,84110188,금속,진주,봄 여름 가을 겨울,4.636363636,볼드,0
제널 드롭귀걸이,골드,귀걸이,192192192,금속,메달형,봄 여름 가을 겨울,4.947368421,볼드,0
제널 드롭귀걸이,실버,귀걸이,84110188,금속,메달형,봄 여름 가을 겨울,4.947368421,볼드,0
체로 귀걸이,골드,귀걸이,84110188,금속,메달형,봄 여름 가을 겨울,4.916666667,볼드,0
테디베어 목걸이,골드,목걸이,84110188,금속,메달형,봄 여름 가을 겨울,4.454545455,볼드,0
히얼 진주 골지반팔가디건,핑크,가디건,"255, 191, 202",골지,브이넥,겨울   ,5,볼드,0
[La belle rose/1+1♥]버디 나시 롱원피스,베이지,롱원피스,"215, 177, 112",골지,유넥,여름   ,0,섹시,0
[La belle rose/1+1♥]버디 나시 롱원피스,블랙,롱원피스,"0, 0, 0",골지,유넥,여름   ,0,섹시,0
[La belle rose]바넷 브이 끈 롱원피스,베이지,롱원피스,"215, 177, 112",무지,브이넥,봄 가을  ,0,섹시,0.11
[La belle rose]바넷 브이 끈 롱원피스,베이지,롱원피스,"211, 197, 150",무지,브이넥,봄 가을  ,0,섹시,0.11
[La belle rose]바넷 브이 끈 롱원피스,블랙,롱원피스,"0, 0, 0",무지,브이넥,봄 가을  ,0,섹시,0.11
[La belle rose]바넷 브이 끈 롱원피스,차콜,롱원피스,"103, 100, 99",무지,브이넥,봄 가을  ,0,섹시,0.11
[La belle rose]벨로아 레오파드 미니스커트,브라운,미니스커트,"158, 124, 76",레오파드,H라인,겨울   ,0,섹시,0
[La belle rose]블링크 레이스 슬리브리스,블랙,민소매/나시,"0, 0, 0",레이스,나시,겨울   ,0,섹시,0
[La belle rose]블링크 레이스 슬리브리스,아이보리,민소매/나시,"254, 255, 239",레이스,나시,겨울   ,0,섹시,0
[La belle rose]스테이 썸머 리본꼬임티,네이비,티셔츠,"0, 0, 129",무지,꼬임,봄 여름  ,0,섹시,-1.52
[La belle rose]스테이 썸머 리본꼬임티,블랙,티셔츠,"0, 0, 0",무지,꼬임,봄 여름  ,0,섹시,-1.52
[La belle rose]스테이 썸머 리본꼬임티,스카이블루,티셔츠,"184, 214, 229",무지,꼬임,봄 여름  ,0,섹시,-1.52
[La belle rose]스테이 썸머 리본꼬임티,핑크,티셔츠,"255, 191, 202",무지,꼬임,봄 여름  ,0,섹시,-1.52
가든파티 벨벳 나시&가디건set,베이지,가디건,"215, 177, 112",벨벳,셔링,봄   ,4.4,섹시,0
가든파티 벨벳 나시&가디건set,퍼플,가디건,"200, 179, 209",벨벳,셔링,봄   ,4.4,섹시,0
가든파티 벨벳 나시&가디건set,핑크,가디건,"255, 191, 202",벨벳,셔링,봄   ,4.4,섹시,0
"디엔느 사선랩 골지원피스(숏,롱.ver)",블랙,미디원피스,"0, 0, 0",골지,랩,   ,4.578125,섹시,0
"디엔느 사선랩 골지원피스(숏,롱.ver)",아이보리,롱원피스,"254, 255, 239",골지,랩,   ,4.578125,섹시,0
라비에 플리츠 롱스커트,네이비,롱스커트 ,"0, 0, 129",무지,플리츠,봄 가을  ,4.384615385,섹시,0
럼블 오프숄더 벨벳원피스,블랙,미니원피스,"0, 0, 0",벨벳,오프숄더,겨울   ,4.5,섹시,0
레도 레이스브라탑 (캡내장),블랙,민소매/나시,"0, 0, 0",무지,브라탑,봄 여름 가을 겨울,4.333333333,섹시,0
렐리 벨벳 부츠컷팬츠,그레이,부츠컷,"169, 169, 169",벨벳,부츠컷,겨울   ,4.607142857,섹시,0
렐리 벨벳 부츠컷팬츠,블랙,부츠컷,"0, 0, 0",벨벳,부츠컷,겨울   ,4.607142857,섹시,0
로아르 시스루블라우스,베이지,블라우스,"217, 205, 173",시스루,프릴,가을   ,4.8,섹시,0
로아르 시스루블라우스,아이보리,블라우스,"254, 255, 239",시스루,프릴,가을   ,4.8,섹시,0
로열 브라탑 (캡내장),블랙,속옷,"0, 0, 0",무지,브라탑,봄 여름 가을 겨울,4.086956522,섹시,0
로열 브라탑 (캡내장),아이보리,속옷,"254, 255, 239",무지,브라탑,봄 여름 가을 겨울,4.086956522,섹시,0
로즈잼 시스루 블라우스,블랙,블라우스,"0, 0, 0",시스루,브이넥,봄 가을  ,4.333333333,섹시,0
로즈잼 시스루 블라우스,아이보리,블라우스,"254, 255, 239",시스루,브이넥,봄 가을  ,4.333333333,섹시,0
로즈잼 시스루 블라우스,핑크,블라우스,"255, 191, 202",시스루,브이넥,봄 가을  ,4.333333333,섹시,0
르베르 골지꼬임 롱원피스,그레이쉬블루,롱원피스,"120, 135, 150",골지,브이넥,겨울   ,4.575,섹시,0
르베르 골지꼬임 롱원피스,블랙,롱원피스,"0, 0, 0",골지,브이넥,겨울   ,4.575,섹시,0
르베르 골지꼬임 롱원피스,아이보리,롱원피스,"254, 255, 239",골지,브이넥,겨울   ,4.575,섹시,0
르치아 물결 오프숄더티,베이지,티셔츠,"231, 216, 203",무지,오프숄더,겨울   ,4.585365854,섹시,0
르치아 물결 오프숄더티,블랙,티셔츠,"0, 0, 0",무지,오프숄더,겨울   ,4.585365854,섹시,0
리브네 노와이어 브라렛세트(캡내장),베이지,속옷,"220, 208, 178",골지,브라탑,봄   ,4.818181818,섹시,0
리븐 랩 오프숄더티,블랙,티셔츠,"0, 0, 0",골지,오프숄더,겨울   ,4.666666667,섹시,0
모모 슬림핏 롱원피스,그레이,롱원피스,"169, 169, 169",무지,슬림,봄 가을  ,5,섹시,0
모모 슬림핏 롱원피스,베이지,롱원피스,"215, 177, 112",무지,슬림,봄 가을  ,5,섹시,0
모모 슬림핏 롱원피스,블랙,롱원피스,"0, 0, 0",무지,슬림,봄 가을  ,5,섹시,0
버치 글램 꼬임티,그레이,티셔츠,"169, 169, 169",무지,꼬임,여름   ,4.563636364,섹시,0
버치 글램 꼬임티,로즈핑크,티셔츠,"193, 126, 89",무지,꼬임,여름   ,4.563636364,섹시,0
버치 글램 꼬임티,블랙,티셔츠,"0, 0, 0",무지,꼬임,여름   ,4.563636364,섹시,0
버치 글램 꼬임티,아이보리,티셔츠,"254, 255, 239",무지,꼬임,여름   ,4.563636364,섹시,0
베니 슬림핏 나시롱원피스,멜란지그레이,롱원피스,"168, 168, 168",무지,스퀘어넥,여름   ,4.857142857,섹시,-2.19
샌프란 오프숄더 원피스,베이지,미니원피스,"214, 208, 174",골지,오프숄더,가을 겨울  ,4.636363636,섹시,0
샌프란 오프숄더 원피스,블랙,미니원피스,"0, 0, 0",골지,오프숄더,가을 겨울  ,4.636363636,섹시,0
세라드 벨벳 퍼프미니원피스,블랙,미니원피스,"0, 0, 0",벨벳,퍼프,겨울   ,4.720930233,섹시,0
세라드 벨벳 퍼프미니원피스,크림,미니원피스,"244, 243, 237",벨벳,퍼프,겨울   ,4.720930233,섹시,0
시어드 랩브이니트,민트,니트/스웨터,"184, 225, 212",무지,랩,겨울   ,4.636363636,섹시,0
시어드 랩브이니트,베이지,니트/스웨터,"223, 211, 199",무지,랩,겨울   ,4.636363636,섹시,0
시어드 랩브이니트,블랙,니트/스웨터,"0, 0, 0",무지,랩,겨울   ,4.636363636,섹시,0
시트리 새틴 롱스커트,크림,롱스커트 ,"242, 234, 210",무지,플레어,봄   ,4.857142857,섹시,0
실비 머메이드 롱원피스(벨트set),그레이,롱원피스,"169, 169, 169",무지,랩,봄   ,4.675675676,섹시,0
실비 머메이드 롱원피스(벨트set),베이지,롱원피스,"215, 177, 112",무지,랩,봄   ,4.675675676,섹시,0
실비 머메이드 롱원피스(벨트set),블랙,롱원피스,"0, 0, 0",무지,랩,봄   ,4.675675676,섹시,0
실비 머메이드 롱원피스(벨트set),크림,롱원피스,"240, 237, 225",무지,랩,봄   ,4.675675676,섹시,0
아맨다 셔링 롱원피스,아이보리,롱원피스,"254, 255, 239",무지,셔링,봄 여름   ,4.875,섹시,-0.55
알렉스 오프숄더니트,그레이,니트/스웨터,"169, 169, 169",무지,오프숄더,가을 겨울  ,4.791666667,섹시,0
알렉스 오프숄더니트,브라운,니트/스웨터,"151, 123, 54",무지,오프숄더,가을 겨울  ,4.791666667,섹시,0
알로 셔링나시,브라운,민소매/나시,"150, 114, 90",무지,셔링,여름   ,4.755555556,섹시,-0.7
알로 셔링나시,블랙,미니원피스,"0, 0, 0",무지,셔링,여름   ,4.755555556,섹시,-0.7
알로 셔링나시,스카이블루,미니원피스,"145, 197, 223",무지,셔링,여름   ,4.755555556,섹시,-0.7
알로 셔링나시,아이보리,민소매/나시,"254, 255, 239",무지,셔링,여름   ,4.755555556,섹시,-0.7
알제리 언발 레더스커트,브라운,미니스커트,192192192,무지,언발,겨울   ,4.555555556,섹시,0
알제리 언발 레더스커트,브라운 ,미니스커트,"158, 124, 76",무지,언발,겨울   ,4.555555556,섹시,0
앨리 물결 미니원피스,아이보리,미니원피스,"254, 255, 239",시스루,스퀘어넥,여름   ,4.615384615,섹시,-0.04
엘리엇 머메이드 나시롱원피스,베이지,롱원피스,"215, 177, 112",무지,머메이드,봄 여름  ,4.941176471,섹시,0
엘리엇 머메이드 나시롱원피스,블랙,롱원피스,"0, 0, 0",무지,머메이드,봄 여름  ,4.941176471,섹시,0
제시 딥블루 데님팬츠,딥블루,일자바지,"2, 0, 140",데님,일자,봄 가을  ,4.857142857,섹시,0
젤스 시스루 롱원피스,베이지,롱원피스,"215, 177, 112",시스루,라운드넥,겨울   ,4.625,섹시,0
초초 니트나시,베이지,민소매/나시,"238, 218, 175",골지,트임,여름   ,4.285714286,섹시,0
초초 니트나시,블랙,민소매/나시,"0, 0, 0",골지,트임,여름   ,4.285714286,섹시,0
케런 시스루 타이블라우스,그레이,블라우스,"110, 115, 125",시스루,리본,봄 가을  ,4.846153846,섹시,0
케런 시스루 타이블라우스,핑크,블라우스,"255, 191, 202",시스루,리본,봄 가을  ,4.846153846,섹시,0
켄달 머메이드 나시롱원피스,베이지,롱원피스,"215, 177, 112",무지,머메이드,여름   ,4.866666667,섹시,-0.69
켄달 머메이드 나시롱원피스,블랙,롱원피스,"0, 0, 0",무지,머메이드,여름   ,4.866666667,섹시,-0.69
켈리 카라원피스,네이비,미니원피스,"0, 0, 129",무지,카라,봄 가을  ,4.146341463,섹시,-1
켈리 카라원피스,퍼플,미니원피스,"204, 166, 208",무지,카라,봄 가을  ,4.146341463,섹시,-1
토플 골지 니트롱원피스,베이지,롱원피스,"215, 177, 112",골지,브이넥,겨울   ,4.882352941,섹시,0
토플 골지 니트롱원피스,블랙,롱원피스,"0, 0, 0",골지,브이넥,겨울   ,4.882352941,섹시,0
포미 머메이드 나시롱원피스,그레이,롱원피스,"169, 169, 169",무지,스퀘어넥,봄 가을  ,4.75,섹시,0
포미 머메이드 나시롱원피스,블랙,롱원피스,"0, 0, 0",무지,스퀘어넥,봄 가을  ,4.75,섹시,0
폴러 언발 오프숄더원피스,블랙,미니원피스,"0, 0, 0",무지,오프숄더,   ,4.4,섹시,0
폴러 언발 오프숄더원피스,퍼플,미니원피스,"204, 166, 208",무지,오프숄더,   ,4.4,섹시,0
하린느 벨벳 나시원피스,블랙,미니원피스,"0, 0, 0",꽈배기,브이넥,겨울   ,4.714285714,섹시,0
하이니 꼬임 오프숄더니트,베이지,니트/스웨터,"223, 211, 199",네트,오프숄더,겨울   ,4.327272727,섹시,0
하이니 꼬임 오프숄더니트,블랙,니트/스웨터,"0, 0, 0",네트,오프숄더,겨울   ,4.327272727,섹시,0
하이니 꼬임 오프숄더니트,아이보리,니트/스웨터,"254, 255, 239",네트,오프숄더,겨울   ,4.327272727,섹시,0
하이니 꼬임 오프숄더니트,핑크,니트/스웨터,"255, 191, 202",네트,오프숄더,겨울   ,4.327272727,섹시,0
하이브 나시 롱원피스(스트랩set),베이지,롱원피스,"215, 177, 112",무지,브이넥,여름   ,4.666666667,섹시,-0.06
하이브 나시 롱원피스(스트랩set),블랙,티셔츠,"0, 0, 0",무지,브이넥,여름   ,4.666666667,섹시,-0.06
하이브 나시 롱원피스(스트랩set),스카이블루,티셔츠,"184, 214, 229",무지,브이넥,여름   ,4.666666667,섹시,-0.06
햅번 오프숄더니트,블랙,니트/스웨터,"0, 0, 0",골지,오프숄더,겨울   ,4.638888889,섹시,0
햅번 오프숄더니트,아이보리,니트/스웨터,"254, 255, 239",골지,오프숄더,겨울   ,4.638888889,섹시,0
햅번 오프숄더니트,차콜,니트/스웨터,"99, 99, 99",골지,오프숄더,겨울   ,4.638888889,섹시,0
호리 시스루 셔츠블라우스,아이보리,블라우스,"254, 255, 239",시스루,카라,봄 가을  ,4.19047619,섹시,0
호아드 밴딩 롱스커트,블랙,롱스커트,"0, 0, 0",무지,밴딩,봄 가을  ,4.823529412,섹시,0
호아드 밴딩 롱스커트,아이보리,롱스커트,"254, 255, 239",무지,밴딩,봄 가을  ,4.823529412,섹시,0
호아드 밴딩 롱스커트,핑크,롱스커트,192192192,무지,밴딩,봄 가을  ,4.823529412,섹시,0
홀리데이 오프숄더 브이맨투맨,멜란지,맨투맨/스웨트셔츠,"218, 218, 218",프린팅,오프숄더,봄 가을  ,5,섹시,0
홀리데이 오프숄더 브이맨투맨,블랙,맨투맨/스웨트셔츠,"0, 0, 0",프린팅,오프숄더,봄 가을  ,5,섹시,0
후르츠 양브이 셔링티,레드,티셔츠,"194, 15, 15",무지,셔링,겨울   ,4.5625,섹시,0
후르츠 양브이 셔링티,블랙,티셔츠,"0, 0, 0",무지,셔링,겨울   ,4.5625,섹시,0
후르츠 양브이 셔링티,아이보리,티셔츠,"254, 255, 239",무지,셔링,겨울   ,4.5625,섹시,0
후르츠 양브이 셔링티,퍼플,티셔츠,"206, 192, 212",무지,셔링,겨울   ,4.5625,섹시,0
[La belle rose]리니 크롭 슬리브리스,블랙,민소매/나시,"0, 0, 0",무지,크롭,여름   ,0,스포티,0
[La belle rose]리니 크롭 슬리브리스,아이보리,민소매/나시,"254, 255, 239",무지,크롭,여름   ,0,스포티,0
로빙 레터링 티셔츠,블랙,티셔츠,"0, 0, 0",프린팅,라운드넥,여름   ,5,스포티,0
로빙 레터링 티셔츠,아이보리,티셔츠,"254, 255, 239",프린팅,라운드넥,여름   ,5,스포티,0
리유 슬릿 트레이닝팬츠,블랙,부츠컷 ,192192192,무지,부츠컷,봄 가을  ,4.387096774,스포티,0
잇타임 트레이닝 세트,그레이,트레이닝세트,"169, 169, 169",프린팅,밴딩,봄 여름 가을 ,4.333333333,스포티,0
잉크 골덴캡,핑크,모자,84110188,프린팅,썬캡,봄 여름 가을 겨울,4.75,스포티,0
[1+1] 기획특가♥라벨르 베이직셔츠,베이지,셔츠/남방,"229, 223, 201",무지,카라,봄 여름 가을 ,0,심플베이직,0
[1+1] 기획특가♥라벨르 베이직셔츠,핑크,셔츠/남방,"255, 191, 202",무지,카라,봄 여름 가을 ,0,심플베이직,0
[1+1] 기획특가♥웰데이 베이직셔츠,그레이,셔츠/남방,"169, 169, 169",무지,카라,여름   ,0,심플베이직,0
[1+1] 기획특가♥웰데이 베이직셔츠,라벤더,셔츠/남방,"210, 170, 224",무지,카라,여름   ,0,심플베이직,0
[1+1] 기획특가♥웰데이 베이직셔츠,블랙,셔츠/남방,"0, 0, 0",무지,카라,여름   ,0,심플베이직,0
[1+1] 기획특가♥웰데이 베이직셔츠,스카이블루,셔츠/남방,"176, 221, 255",무지,카라,여름   ,0,심플베이직,0
[1+1] 기획특가♥웰데이 베이직셔츠,아이보리,셔츠/남방,"254, 255, 239",무지,카라,여름   ,0,심플베이직,0
[1+1] 기획특가♥웰데이 베이직셔츠,차콜,셔츠/남방,"71, 71, 71",무지,카라,여름   ,0,심플베이직,0
[1+1] 기획특가♥웰데이 베이직셔츠,크림,셔츠/남방,"242, 237, 221",무지,카라,여름   ,0,심플베이직,0
[1+1] 기획특가♥웰데이 베이직셔츠(썸머.ver),네이비,셔츠/남방,"0, 0, 129",무지,카라,여름   ,0,심플베이직,0
[1+1] 기획특가♥웰데이 베이직셔츠(썸머.ver),라이트퍼플,셔츠/남방,"210, 170, 224",무지,카라,여름   ,0,심플베이직,0
[1+1] 기획특가♥웰데이 베이직셔츠(썸머.ver),블루그레이,셔츠/남방,"153, 169, 192",무지,카라,여름   ,0,심플베이직,0
[1+1] 기획특가♥웰데이 베이직셔츠(썸머.ver),스카이블루,셔츠/남방,"176, 221, 255",무지,카라,여름   ,0,심플베이직,0
[1+1] 기획특가♥웰데이 베이직셔츠(썸머.ver),아이보리,셔츠/남방,"254, 255, 239",무지,카라,여름   ,0,심플베이직,0
[1+1♥] 위니 롱슬리브티,그린,티셔츠,"173, 229, 170",린넨,라운드넥,봄 가을  ,0,심플베이직,0
[1+1♥] 위니 롱슬리브티,아이보리,티셔츠,"254, 255, 239",린넨,라운드넥,봄 가을  ,0,심플베이직,0
[DAYONE LABEL]노팅 크림팬츠,크림,스키니,"239, 237, 220",무지,슬림,봄 가을  ,0,심플베이직,0
[DAYONE LABEL]드먼 슬림일자 데님팬츠(기모안감),블루,일자바지,"71, 103, 130",데님,슬림,겨울   ,0,심플베이직,0
[DAYONE LABEL]아이스 슬림일자 데님팬츠,연청,스키니,"137, 205, 212",무지,슬림,여름   ,0,심플베이직,-0.06
[DAYONE LABEL]에브 골지유넥티,그레이,티셔츠,"169, 169, 169",골지,유넥,봄 가을  ,0,심플베이직,0
[DAYONE LABEL]에브 골지유넥티,베이지,티셔츠,"231, 216, 203",골지,유넥,봄 가을  ,0,심플베이직,0
[DAYONE LABEL]에브 골지유넥티,블랙,티셔츠,"0, 0, 0",골지,유넥,봄 가을  ,0,심플베이직,0
[DAYONE LABEL]에브 골지유넥티,핑크,티셔츠,"255, 191, 202",골지,유넥,봄 가을  ,0,심플베이직,0
[DAYONE LABEL]케이즈 하이스키니진(기모ver),블루,스키니,"52, 64, 93",무지,슬림,겨울   ,0,심플베이직,0
[La belle rose/1+1♥]쫀쫀 스퀘어 골지나시,다크핑크,민소매/나시,"226, 133, 133",골지,스퀘어넥,여름   ,0,심플베이직,0
[La belle rose/1+1♥]쫀쫀 스퀘어 골지나시,베이지,민소매/나시,"238, 218, 175",골지,스퀘어넥,여름   ,0,심플베이직,0
[La belle rose/1+1♥]쫀쫀 스퀘어 골지나시,블랙,민소매/나시,"0, 0, 0",골지,스퀘어넥,여름   ,0,심플베이직,0
[La belle rose/1+1♥]쫀쫀 스퀘어 골지나시,아이보리,민소매/나시,"254, 255, 239",골지,스퀘어넥,여름   ,0,심플베이직,0
[La belle rose/1+1♥]쫀쫀 스퀘어 골지나시,퍼플,민소매/나시,"212, 199, 229",골지,스퀘어넥,여름   ,0,심플베이직,0
[La belle rose]니어 라운드 골지티,라이트그레이,티셔츠,"226, 225, 219",골지,라운드넥,봄 가을  ,0,심플베이직,0
[La belle rose]니어 라운드 골지티,블랙,티셔츠,"0, 0, 0",골지,라운드넥,봄 가을  ,0,심플베이직,0
[La belle rose]니어 라운드 골지티,아이보리,티셔츠,"254, 255, 239",골지,라운드넥,봄 가을  ,0,심플베이직,0
[La belle rose]니어 라운드 골지티,오트밀,티셔츠,"226, 225, 219",골지,라운드넥,봄 가을  ,0,심플베이직,0
[La belle rose]니어 라운드 골지티,캔디핑크,티셔츠,"255, 191, 202",골지,라운드넥,봄 가을  ,0,심플베이직,0
[La belle rose]디어문 베이직 미니스커트,뮤트베이지,미니스커트,"226, 218, 196",골지,H라인,봄   ,0,심플베이직,0
[La belle rose]로제 스퀘어 미니훌원피스,모던블랙,미니원피스,"19, 19, 19",무지,스퀘어넥,여름   ,0,심플베이직,0.24
[La belle rose]로제 스퀘어 미니훌원피스,스윗핑크,미니원피스,"230, 178, 179",무지,스퀘어넥,여름   ,0,심플베이직,0.24
[La belle rose]로제 스퀘어 미니훌원피스,스윗핑크 ,미니원피스,"230, 178, 179",무지,스퀘어넥,여름   ,0,심플베이직,0.24
[La belle rose]로제 스퀘어 미니훌원피스,아이보리,미니원피스,"254, 255, 239",무지,스퀘어넥,여름   ,0,심플베이직,0.24
[La belle rose]모드 이지 롱원피스,그레이,롱원피스,"169, 169, 169",무지,오프숄더,봄 가을  ,0,심플베이직,0
[La belle rose]모드 이지 롱원피스,베이지,롱원피스,"215, 177, 112",무지,오프숄더,봄 가을  ,0,심플베이직,0
[La belle rose]모드 이지 롱원피스,블랙,롱원피스,"0, 0, 0",무지,오프숄더,봄 가을  ,0,심플베이직,0
[La belle rose]모드 이지 롱원피스,포그블루,롱원피스,"178, 200, 217",무지,오프숄더,봄 가을  ,0,심플베이직,0
[La belle rose]바이브 숏슬리브 미들원피스,블랙,미디원피스,"0, 0, 0",무지,라운드넥,여름   ,0,심플베이직,-0.22
[La belle rose]바이브 숏슬리브 미들원피스,블랙 ,미디원피스,"0, 0, 0",무지,라운드넥,여름   ,0,심플베이직,-0.22
[La belle rose]발렌티 여리 훌스커트,베이지,롱스커트,"209, 201, 161",무지,머메이드,봄 가을  ,0,심플베이직,-1.46
[La belle rose]발렌티 여리 훌스커트,블랙,롱스커트,"0, 0, 0",무지,머메이드,봄 가을  ,0,심플베이직,-1.46
[La belle rose]발렌티 여리 훌스커트,블랙 ,롱스커트,"0, 0, 0",무지,머메이드,봄 가을  ,0,심플베이직,-1.46
[La belle rose]발렌티 여리 훌스커트,크림,롱스커트,"242, 234, 210",무지,머메이드,봄 가을  ,0,심플베이직,-1.46
[La belle rose]어바웃 썸머 코튼셔츠,베이비블루,셔츠/남방,"165, 208, 241",무지,카라,여름   ,0,심플베이직,-0.13
[La belle rose]어바웃 썸머 코튼셔츠,샌드베이지,셔츠/남방,"232, 224, 200",무지,카라,여름   ,0,심플베이직,-0.13
[La belle rose]어바웃 썸머 코튼셔츠,스위트핑크,셔츠/남방,"233, 194, 202",무지,카라,여름   ,0,심플베이직,-0.13
[La belle rose]어바웃 썸머 코튼셔츠,아이보리,셔츠/남방,"254, 255, 239",무지,카라,여름   ,0,심플베이직,-0.13
[La belle rose]언더 베이직 유넥티,그레이,티셔츠,"169, 169, 169",무지,유넥,봄 가을  ,0,심플베이직,-0.1
[La belle rose]언더 베이직 유넥티,네이비,티셔츠,"0, 0, 129",무지,유넥,봄 가을  ,0,심플베이직,-0.1
[La belle rose]언더 베이직 유넥티,민트,티셔츠,"170, 241, 227",무지,유넥,봄 가을  ,0,심플베이직,-0.1
[La belle rose]언더 베이직 유넥티,베이지,티셔츠,"231, 216, 203",무지,유넥,봄 가을  ,0,심플베이직,-0.1
